Fecha,Fecha_Raw,Hora,Equipo_Local,Equipo_Visitante,Estadio,Partido_ID,Continente,Pais,Competicion,ID_Competicion,Torneo_ID,Temporada,URL_Partido,Estado_Partido,Nivel_Cobertura,Ultima_Actualizacion,Asistencia,Clima_Temperatura,Clima_Condiciones
2025-09-26,2025-09-26Z,17:00:00Z,Alanyaspor,Galatasaray,GAIN Park Stadium,7rwkl80bcixmmwfn9rnclxa1g,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7rwkl80bcixmmwfn9rnclxa1g/player-stats,,13,2025-12-04T16:51:36Z,,,
2025-09-24,2025-09-24Z,17:00:00Z,Kayserispor,Beşiktaş,RHG Enertürk Enerji Stadyumu,78smpfl4ows0v2vo60blmqej8,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/78smpfl4ows0v2vo60blmqej8/player-stats,,13,2025-12-02T12:01:18Z,,,
2025-09-22,2025-09-22Z,17:00:00Z,Galatasaray,Konyaspor,RAMS Park,7pjlylpu0k42y9oqamhugi5uc,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7pjlylpu0k42y9oqamhugi5uc/player-stats,,13,2025-11-24T22:01:43Z,,,
2025-09-21,2025-09-21Z,17:00:00Z,Samsunspor,Fatih Karagümrük,Samsun Yeni 19 Mayıs Stadyumu,7odjacz5g903029htfwi93z84,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7odjacz5g903029htfwi93z84/player-stats,,13,2025-11-24T14:02:20Z,,,
2025-09-21,2025-09-21Z,17:00:00Z,Kasımpaşa,Fenerbahçe,Recep Tayyip Erdoğan Stadyumu,7n5wjpap8yin5d7ejf8gnnlzo,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7n5wjpap8yin5d7ejf8gnnlzo/player-stats,,13,2025-12-11T19:09:13Z,,,
2025-09-21,2025-09-21Z,14:00:00Z,Kocaelispor,Rizespor,Turka Arac Muayene Kocaeli Stadyumu,7qc8ua4981j7o0cljsb54ek9g,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7qc8ua4981j7o0cljsb54ek9g/player-stats,,13,2025-12-03T16:35:09Z,,,
2025-09-21,2025-09-21Z,14:00:00Z,İstanbul Başakşehir,Alanyaspor,Başakşehir Fatih Terim Stadyumu,7orlcfolhenm7pwuf2v17io7o,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7orlcfolhenm7pwuf2v17io7o/player-stats,,13,2025-12-04T16:51:36Z,,,
2025-09-20,2025-09-20Z,17:00:00Z,Trabzonspor,Gaziantep FK,Papara Park,7nzm2jyvz40vo5jj2f13d2m8k,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7nzm2jyvz40vo5jj2f13d2m8k/player-stats,,13,2025-12-04T09:17:46Z,,,
2025-09-20,2025-09-20Z,17:00:00Z,Antalyaspor,Kayserispor,Corendon Airlines Park,7nljq8k5t0ciekcednp5sdjx0,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7nljq8k5t0ciekcednp5sdjx0/player-stats,,13,2025-12-04T14:20:10Z,,,
2025-09-20,2025-09-20Z,14:00:00Z,Gençlerbirliği,Eyüpspor,Eryaman Stadyumu,7pxs63w57d6anm2xfszyylnv8,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7pxs63w57d6anm2xfszyylnv8/player-stats,,13,2025-12-06T12:06:14Z,,,
2025-09-19,2025-09-19Z,17:00:00Z,Göztepe,Beşiktaş,Gürsel Aksel Stadyumu,7p5qpnbspjo2iz3h4uzu8qgic,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7p5qpnbspjo2iz3h4uzu8qgic/player-stats,,13,2025-11-25T10:13:07Z,,,
2025-09-17,2025-09-17Z,17:00:00Z,Samsunspor,Kasımpaşa,Samsun Yeni 19 Mayıs Stadyumu,7dupluavw70ipsg86sk9vtv6c,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7dupluavw70ipsg86sk9vtv6c/player-stats,,13,2025-12-06T10:29:34Z,,,
2025-09-17,2025-09-17Z,17:00:00Z,Fenerbahçe,Alanyaspor,Chobani Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi,77t1mmtqc2t2ux8hs69a2wdg4,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/77t1mmtqc2t2ux8hs69a2wdg4/player-stats,,13,2025-12-11T19:09:13Z,,,
2025-09-17,2025-09-17Z,17:00:00Z,Fatih Karagümrük,İstanbul Başakşehir,Atatürk Olimpiyat Stadı,76urmlyv665nk2yffdad3m13o,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/76urmlyv665nk2yffdad3m13o/player-stats,,13,2025-11-24T14:02:20Z,,,
2025-09-15,2025-09-15Z,17:00:00Z,Rizespor,Gençlerbirliği,Çaykur Didi Stadyumu,7meivbl8r705ml6dy858t2y38,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7meivbl8r705ml6dy858t2y38/player-stats,,13,2025-12-02T10:45:18Z,,,
2025-09-14,2025-09-14Z,16:00:00Z,Fenerbahçe,Trabzonspor,Chobani Stadyumu Fenerbahçe Şükrü Saracoğlu Spor Kompleksi,7m0qbk149uxbedkyp30gg2ej8,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7m0qbk149uxbedkyp30gg2ej8/player-stats,,13,2025-12-11T19:09:13Z,,,
2025-09-14,2025-09-14Z,16:00:00Z,Gaziantep FK,Kocaelispor,Gaziantep Stadyumu,7ln1jwpnzbv5llc1xrd6c6rro,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7ln1jwpnzbv5llc1xrd6c6rro/player-stats,,13,2025-12-04T09:17:46Z,,,
2025-09-14,2025-09-14Z,14:00:00Z,Kayserispor,Göztepe,RHG Enertürk Enerji Stadyumu,7ms8ic9svbv2zeykmxzx7rswk,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7ms8ic9svbv2zeykmxzx7rswk/player-stats,,13,2025-12-02T12:01:18Z,,,
2025-09-13,2025-09-13Z,17:00:00Z,Beşiktaş,İstanbul Başakşehir,Tüpraş Stadyumu,7kh7uy7c9emjszrmi9uo7182c,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7kh7uy7c9emjszrmi9uo7182c/player-stats,,13,2025-11-25T10:13:07Z,,,
2025-09-13,2025-09-13Z,17:00:00Z,Konyaspor,Alanyaspor,Medaş Konya Büyükşehir Stadyumu,7k33zvh3wtmfcp7oanpe87o5w,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7k33zvh3wtmfcp7oanpe87o5w/player-stats,,13,2025-12-04T16:51:36Z,,,
2025-09-13,2025-09-13Z,14:00:00Z,Fatih Karagümrük,Kasımpaşa,Başakşehir Fatih Terim Stadyumu,7l9bl79l7pufy26jm59v5w8wk,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7l9bl79l7pufy26jm59v5w8wk/player-stats,,13,2025-12-06T10:29:34Z,,,
2025-09-13,2025-09-13Z,14:00:00Z,Samsunspor,Antalyaspor,Samsun Yeni 19 Mayıs Stadyumu,7kv3ianke77kgi2x7r8ujabys,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7kv3ianke77kgi2x7r8ujabys/player-stats,,13,2025-12-04T14:20:10Z,,,
2025-09-13,2025-09-13Z,14:00:00Z,Eyüpspor,Galatasaray,Atatürk Olimpiyat Stadı,7jouje8prvb0eah275rhl826s,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7jouje8prvb0eah275rhl826s/player-stats,,13,2025-12-06T12:06:14Z,,,
2025-08-31,2025-08-31Z,18:30:00Z,Alanyaspor,Beşiktaş,GAIN Park Stadium,7hc5y9k8e5fvz80v30vhtrok4,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7hc5y9k8e5fvz80v30vhtrok4/player-stats,,13,2025-12-04T16:51:36Z,,,
2025-08-31,2025-08-31Z,18:30:00Z,Trabzonspor,Samsunspor,Papara Park,7gybe27al37w6liessxvxv1g4,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7gybe27al37w6liessxvxv1g4/player-stats,,13,2025-12-01T13:25:32Z,,,
2025-08-31,2025-08-31Z,16:00:00Z,Gençlerbirliği,Fenerbahçe,Eryaman Stadyumu,7ix5wjqirrm8u87dw8kxd33mc,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7ix5wjqirrm8u87dw8kxd33mc/player-stats,,13,2025-12-01T12:51:53Z,,,
2025-08-31,2025-08-31Z,16:00:00Z,İstanbul Başakşehir,Eyüpspor,Başakşehir Fatih Terim Stadyumu,7hpxnlgw9qzyebfy0q2s0ld78,Europe,Türkiye,Süper Lig,482ofyysbdbeoxauk19yg7tdt,süper-lig-2025-2026,2025/2026,https://www.scoresway.com/en_GB/soccer/süper-lig/süper-lig-2025-2026/match/view/7hpxnlgw9qzyebfy0q2s0ld78/player-stats,,13,2025-12-06T12:06:14Z,,,
